asin,title,rating,number_of_reviews,price,page,source
B0BS1QCFHX,"WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",4.4,15000.0,,1,Amazon
B0BS1PRC4L,"WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",4.5,31300.0,38.0,1,Amazon
B0DY8TS92J,"WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone, Pink",4.4,15000.0,98.0,1,Amazon
B0CWVX1GNX,"ULT WEAR Over-Ear Noise Canceling Bluetooth Headphones with Alexa Built-in, Comfortable Design, 30-Hour Battery, Massive Bass, & Signature Noise Canceling Found in 1000X Series, Black",4.3,3000.0,,1,Amazon
B0BS74M665,"WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, White New",4.4,15000.0,98.0,1,Amazon
B0BVPNJP1C,WHCH720N Wireless Over The Ear Noise Canceling Headphones with 2 Microphones and Alexa Voice Control (Black),4.4,1600.0,98.0,1,Amazon
B0CFSCT8GQ,WH-CH720NB Noise Canceling Wireless Bluetooth Headphones - Built-in Microphone - up to 35 Hours Battery Life and Quick Charge - Black - International Version,4.5,1300.0,98.0,1,Amazon
B0CX1TJXKV,"ULT WEAR Over Ear Wireless Noise Canceling Headphones ULT Sound, Massive Bass, Clear Call Quality, Up to 30hr Battery Life, Alexa & Google Assistant, iOS & Android (Black), International Model",4.5,2500.0,149.99,1,Amazon
B0CWVXTK6Z,"ULT WEAR Over-Ear Noise Canceling Bluetooth Headphones with Alexa Built-in, Comfortable Design, 30-Hour Battery, Massive Bass, & Signature Noise Canceling Found in 1000X Series, Off White",4.3,3000.0,148.0,1,Amazon
B09XS7JWHH,"WH-1000XM5 Premium Noise Canceling Headphones, Auto NC Optimizer, 30-Hour Battery, Alexa Voice Control, Black",4.2,19200.0,248.0,1,Amazon
B0BXYCS74H,"WH-1000XM5 Premium Noise Canceling Headphones, Auto NC Optimizer, 30-Hour Battery, Alexa Voice Control, Midnight Blue",4.2,19200.0,248.0,1,Amazon
